day,tempMin,tempMax,summary,desc,cloudCover,humidity,windSpeed,visibility
2015-01-01,7.53,12.23,Possible light rain until evening.,rain,0.8,0.89,14.69,4.43
2015-01-02,3.58,7.15,Possible light rain throughout the day.,rain,0.62,0.79,15.04,5.64
2015-01-03,-0.61,6.54,Clear throughout the day.,rain,0.31,0.84,4.48,6.2
2015-01-04,-0.63,7.59,Mostly cloudy throughout the day.,partly-cloudy-day,0.78,0.85,4.35,6.22
2015-01-05,6.51,10.43,Overcast throughout the day.,partly-cloudy-day,0.85,0.91,6.2,5.91
2015-01-06,3.66,9.95,Possible light rain in the morning and afternoon.,rain,0.63,0.88,8.7,5.93
2015-01-07,4.58,11.13,Light rain throughout the day.,rain,0.77,0.88,15.5,4.93
2015-01-08,4.25,7.11,"Light rain until morning, starting again in the evening.",rain,0.6,0.83,12.28,5.66
2015-01-09,4.64,12.31,Light rain starting in the afternoon.,rain,0.84,0.83,19.19,4.54
2015-01-10,1.85,12.38,"Light rain until morning, starting again in the evening.",rain,0.7,0.82,19.92,5.26
2015-01-11,1.67,7.57,"Light rain until afternoon, starting again overnight.",rain,0.8,0.88,14.9,5.44
2015-01-12,3.69,8.74,"Light rain until afternoon, starting again overnight.",rain,0.78,0.8,18.57,5.27
2015-01-13,0.88,5.19,Partly cloudy throughout the day.,rain,0.68,0.83,11.19,6.22
2015-01-14,1.39,7.52,Possible light rain starting in the afternoon.,rain,0.61,0.85,12.23,5.48
2015-01-15,4.17,7.85,Possible light rain in the afternoon and evening.,rain,0.78,0.78,22.37,5.75
2015-01-16,0.68,4.11,Foggy in the afternoon.,partly-cloudy-day,0.52,0.82,9.64,5.79
2015-01-17,-2.49,2.43,Possible drizzle in the morning and afternoon.,rain,0.53,0.92,3.59,5.84
2015-01-18,-2.45,3.9,Clear throughout the day.,partly-cloudy-day,0.37,0.81,4.13,5.7
2015-01-19,-4.74,1.04,Clear throughout the day.,clear-day,0.13,0.85,2.13,6.22
2015-01-20,-3.87,1.72,Clear throughout the day.,clear-day,0.27,0.86,2.69,5.75
2015-01-21,-2.88,1.58,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.87,1.62,4.08
2015-01-22,-1.22,2.97,Partly cloudy throughout the day.,partly-cloudy-day,0.76,0.89,2.54,4.28
2015-01-23,2.4,7.92,Possible light rain throughout the day.,rain,0.8,0.9,9.21,4.96
2015-01-24,1.66,5.98,Partly cloudy throughout the day.,rain,0.56,0.86,8.69,6.12
2015-01-25,5.24,9.82,Possible light rain in the evening and overnight.,rain,0.91,0.91,11.1,5.19
