location,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
lat,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006
lon,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523
asl,58.954,58.954,58.954,58.954,58.954,58.954,58.954,58.954
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Direction,Wind Speed,Wind Direction
unit,°C,%,hPa,mm,km/h,°,km/h,°
level,2 m elevation corrected,2 m,MSL,sfc,10 m,10 m,80 m,80 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,Glasgow Temperature (°C) [2 m elevation corrected],Glasgow Relative Humidity (%) [2 m],Glasgow Mean Sea Level Pressure (hPa) [MSL],Glasgow Precipitation Total (mm) ,Glasgow Wind Speed (km/h) [10 m],Glasgow Wind Direction (°) [10 m],Glasgow Wind Speed (km/h) [80 m],Glasgow Wind Direction (°) [80 m]
20200705T0000,13.323198,94.0,994.8,2.0,10.932142,133.02505,19.228851,141.84277
20200705T0100,13.963199,94.0,993.2,3.5,11.029089,217.1467,22.45315,221.0995
20200705T0200,13.953198,91.0,993.0,0.0,22.459906,247.69379,41.180286,247.91956
20200705T0300,13.193198,91.0,992.4,0.0,20.643852,252.73419,37.585102,253.30075
20200705T0400,12.043199,88.0,992.1,0.0,24.399971,259.3035,44.211166,260.15417
20200705T0500,10.773198,89.0,993.6,0.0,23.924143,277.67896,43.986343,280.8501
20200705T0600,10.953198,87.0,995.1,0.0,23.521778,283.0919,42.34708,284.27252
20200705T0700,11.293199,85.0,996.3,0.0,20.486835,282.77124,36.409866,284.31104
20200705T0800,11.563198,86.0,996.5,0.6,18.185581,275.04245,31.093666,275.31454
20200705T0900,11.203198,79.0,998.0,0.3,25.244825,277.275,42.86873,277.72183
20200705T1000,11.353198,78.0,999.0,0.1,23.176798,270.0,38.881668,270.53052
20200705T1100,11.733198,76.0,1000.2,0.1,24.248253,268.74097,39.966484,268.96777
20200705T1200,11.633199,78.0,1000.4,0.1,23.035517,264.0257,38.723015,264.1304
20200705T1300,12.193198,79.0,999.9,0.7,23.785805,254.4072,39.12092,255.06857
20200705T1400,11.933199,77.0,999.9,0.5,23.928593,258.43988,39.961617,259.09497
20200705T1500,11.893199,79.0,1000.1,0.4,21.826925,250.0169,36.10963,249.57767
20200705T1600,12.163198,77.0,999.6,0.7,22.077473,250.25317,38.141315,250.70996
20200705T1700,11.973199,82.0,999.1,0.6,23.603098,253.61046,40.35213,254.47589
20200705T1800,11.463199,87.0,999.2,0.5,15.932858,249.44395,25.40743,249.25392
20200705T1900,11.963199,81.0,1000.3,0.2,20.01549,279.9638,33.39473,281.1888
20200705T2000,11.803199,82.0,1000.7,0.0,20.869513,284.03625,36.247547,285.55457
20200705T2100,11.143199,83.0,1002.0,0.0,22.1689,290.3949,39.107666,291.60553
20200705T2200,10.263199,86.0,1003.5,0.0,21.146523,289.11972,38.385185,290.30447
20200705T2300,9.733198,88.0,1004.3,0.0,19.190048,283.65042,35.11061,285.46124
